predict_time,future_time,lstm_class,lstm_predic,lstm_price,time_price,future_price,signal1,signal2,signal3

2020-11-25 18:00:00,2020-11-25 19:00:00,1.0,1,1.0,19271.878907061022,19332.081124423745,0,0,
2020-11-25 19:00:00,2020-11-25 20:00:00,1.0,1,0.0,19119.144567471358,18907.416073152424
2020-11-25 20:00:00,2020-11-25 21:00:00,1.0,1,1.0,18998.200323614976,18985.42749356389
2020-11-26 11:00:00,2020-11-26 12:00:00,1.0,1,1.0,17625.844386206092,18691.638393369914
2020-11-26 12:00:00,2020-11-26 13:00:00,0.0,1,1.0,16974.215235172134,18427.945232942104,0,,
2020-11-26 13:00:00,2020-11-26 14:00:00,0.0,1,1.0,17163.81195731025,18114.39125712514,0,0,
2020-11-26 14:00:00,2020-11-26 15:00:00,1.0,1,1.0,17293.096335058588,17515.863012695907,0,0,
2020-11-26 15:00:00,2020-11-26 16:00:00,1.0,1,1.0,17122.400917270505,17363.435629415515,1,1,
2020-11-26 16:00:00,2020-11-26 17:00:00,1.0,0,1.0,17357.615837294677,17483.97777939707,0,0,
2020-11-26 17:00:00,2020-11-26 18:00:00,1.0,1,1.0,17121.457943053138,17267.705004827974,0,0,
2020-11-26 18:00:00,2020-11-26 19:00:00,1.0,1,0.0,16933.081443053135,17304.491007821558,0,0,
2020-11-26 19:00:00,2020-11-26 20:00:00,1.0,1,1.0,16917.429704274007,17106.560510711668,0,0,
2020-11-26 20:00:00,2020-11-26 21:00:00,0.0,1,0.0,16722.041521495903,17096.10807819843,0,0,
2020-11-26 21:00:00,2020-11-26 22:00:00,0.0,1,1.0,16738.592132523565,17160.66771893382,0,0,
2020-11-26 22:00:00,2020-11-26 23:00:00,1.0,1,1.0,16618.477571383246,17101.34217457652,0,0,
2020-11-26 23:00:00,2020-11-27 00:00:00,1.0,1,1.0,16591.366071383247,17149.649713145493,1,1,
2020-11-27 00:00:00,2020-11-27 01:00:00,1.0,1,1.0,17108.536653093815,17077.64265938282,1,1,
2020-11-27 01:00:00,2020-11-27 02:00:00,1.0,1,1.0,17068.736728582837,17159.271540956495,1,1,
